idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;979
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2016;09;Здравство и социјална помоћ;2122
1104010103IND01;RS2;СРБИЈА – ЈУГ;00;2016;10;Услуге;3100
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;0;Укупно;22830
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;00;Генерички програми и квалификације;0
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;01;Образовање;2479
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;02;Уметности и хуманистичке науке;2012
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;03;Друштвене науке, новинарство и информисање;1642
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;04;Пословање, администрација и право;5376
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;05;Природне науке, математика и статистика;1331
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;06;Информационе и комуникационе технологије (ИКТ);2474
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;07;Инжењерство, производња и грађевинарство;3818
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;572
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;09;Здравство и социјална помоћ;1620
1104010103IND01;RS21;Регион Шумадије и Западне Србије;00;2016;10;Услуге;1506
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;0;Укупно;22090
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;00;Генерички програми и квалификације;0
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;01;Образовање;1857
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;02;Уметности и хуманистичке науке;1324
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;03;Друштвене науке, новинарство и информисање;1431
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;04;Пословање, администрација и право;6964
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;05;Природне науке, математика и статистика;915
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;06;Информационе и комуникационе технологије (ИКТ);1424
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;07;Инжењерство, производња и грађевинарство;5672
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;407
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;09;Здравство и социјална помоћ;502
1104010103IND01;RS22;Регион Јужне и Источне Србије;00;2016;10;Услуге;1594
1104010103IND01;RS23;Регион Косовo и Метохијa;00;2016;0;Укупно;
