idindikator;IDTer;nTer;mes;god;IDISCEDF;nISCEDF;vrednost
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;09;Здравство и социјална помоћ;30
1104020402IND01;RS2;СРБИЈА – ЈУГ;00;2016;10;Услуге;161
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;0;Укупно;250
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;01;Образовање;24
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;02;Уметности и хуманистичке науке;0
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;03;Друштвене науке, новинарство и информисање;16
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;04;Пословање, администрација и право;119
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;05;Природне науке, математика и статистика;29
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;06;Информационе и комуникационе технологије (ИКТ);3
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;07;Инжењерство, производња и грађевинарство;17
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;11
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;09;Здравство и социјална помоћ;21
1104020402IND01;RS21;Регион Шумадије и Западне Србије;00;2016;10;Услуге;10
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;0;Укупно;646
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;00;Генерички програми и квалификације;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;01;Образовање;5
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;02;Уметности и хуманистичке науке;20
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;03;Друштвене науке, новинарство и информисање;68
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;04;Пословање, администрација и право;173
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;05;Природне науке, математика и статистика;109
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;06;Информационе и комуникационе технологије (ИКТ);12
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;07;Инжењерство, производња и грађевинарство;99
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;0
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;09;Здравство и социјална помоћ;9
1104020402IND01;RS22;Регион Јужне и Источне Србије;00;2016;10;Услуге;151
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;00;Генерички програми и квалификације;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;01;Образовање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;02;Уметности и хуманистичке науке;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;03;Друштвене науке, новинарство и информисање;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;04;Пословање, администрација и право;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;05;Природне науке, математика и статистика;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;06;Информационе и комуникационе технологије (ИКТ);
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;07;Инжењерство, производња и грађевинарство;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;08;Пољопривреда, шумарство, рибарство и ветерина;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;09;Здравство и социјална помоћ;
1104020402IND01;RS23;Регион Косовo и Метохијa;00;2016;10;Услуге;
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;0;Укупно;645
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;00;Генерички програми и квалификације;0
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;01;Образовање;32
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;02;Уметности и хуманистичке науке;82
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;03;Друштвене науке, новинарство и информисање;49
1104020402IND01;RS;РЕПУБЛИКА СРБИЈА;00;2017;04;Пословање, администрација и право;187
