idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2010;1;Мушко;63567
11040101IND01;RS1;СРБИЈА – СЕВЕР;00;2010;2;Женско;75638
11040101IND01;RS11;Београдски регион;00;2007;0;Укупно;76921
11040101IND01;RS11;Београдски регион;00;2007;1;Мушко;36427
11040101IND01;RS11;Београдски регион;00;2007;2;Женско;40494
11040101IND01;RS11;Београдски регион;00;2008;0;Укупно;82371
11040101IND01;RS11;Београдски регион;00;2008;1;Мушко;39433
11040101IND01;RS11;Београдски регион;00;2008;2;Женско;42938
11040101IND01;RS11;Београдски регион;00;2017;0;Укупно;109249
11040101IND01;RS11;Београдски регион;00;2017;1;Мушко;48603
11040101IND01;RS11;Београдски регион;00;2017;2;Женско;60646
11040101IND01;RS11;Београдски регион;00;2015;0;Укупно;106652
11040101IND01;RS11;Београдски регион;00;2015;1;Мушко;48826
11040101IND01;RS11;Београдски регион;00;2015;2;Женско;57826
11040101IND01;RS11;Београдски регион;00;2016;0;Укупно;111589
11040101IND01;RS11;Београдски регион;00;2016;1;Мушко;49958
11040101IND01;RS11;Београдски регион;00;2016;2;Женско;61631
11040101IND01;RS11;Београдски регион;00;2013;0;Укупно;104749
11040101IND01;RS11;Београдски регион;00;2013;1;Мушко;48129
11040101IND01;RS11;Београдски регион;00;2013;2;Женско;56620
11040101IND01;RS11;Београдски регион;00;2014;0;Укупно;101341
11040101IND01;RS11;Београдски регион;00;2014;1;Мушко;46240
11040101IND01;RS11;Београдски регион;00;2014;2;Женско;55101
11040101IND01;RS11;Београдски регион;00;2011;0;Укупно;93314
11040101IND01;RS11;Београдски регион;00;2011;1;Мушко;43678
11040101IND01;RS11;Београдски регион;00;2011;2;Женско;49636
11040101IND01;RS11;Београдски регион;00;2012;0;Укупно;100832
11040101IND01;RS11;Београдски регион;00;2012;1;Мушко;45828
11040101IND01;RS11;Београдски регион;00;2012;2;Женско;55004
11040101IND01;RS11;Београдски регион;00;2009;0;Укупно;90971
11040101IND01;RS11;Београдски регион;00;2009;1;Мушко;42348
11040101IND01;RS11;Београдски регион;00;2009;2;Женско;48623
11040101IND01;RS11;Београдски регион;00;2010;0;Укупно;95399
11040101IND01;RS11;Београдски регион;00;2010;1;Мушко;43733
11040101IND01;RS11;Београдски регион;00;2010;2;Женско;51666
11040101IND01;RS12;Регион Војводине;00;2007;0;Укупно;34509
11040101IND01;RS12;Регион Војводине;00;2007;1;Мушко;16017
11040101IND01;RS12;Регион Војводине;00;2007;2;Женско;18492
11040101IND01;RS12;Регион Војводине;00;2008;0;Укупно;38838
11040101IND01;RS12;Регион Војводине;00;2008;1;Мушко;17842
11040101IND01;RS12;Регион Војводине;00;2008;2;Женско;20996
11040101IND01;RS12;Регион Војводине;00;2017;0;Укупно;43620
11040101IND01;RS12;Регион Војводине;00;2017;1;Мушко;20193
11040101IND01;RS12;Регион Војводине;00;2017;2;Женско;23427
